Customer,State,Customer Lifetime Value,Response,Coverage_Ext,Coverage_Pre,Edu_College,Edu_Bach,Edu_Master,Edu_Doctor,Effective To Date,Employ_Unemp,Employ_Dis,Employ_Med,Employ_Ret,Gender,Income,Locat_Sub,Locat_Rural,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy_Cor,Policy_Spe,Level_2,Level_3,Renew_O2,Renew_O3,Renew_O4,Sales_Bch,Sales_Call,Sales_Web,Total Claim Amount,Vehicle Class,Vehicle_Med,Vehicle_Large
SX51350,California,4738.992022,No,0,0,1,0,0,0,2/21/11,1,0,0,0,M,0,1,0,Single,67,23,5,0,3,0,0,0,1,0,0,0,0,0,0,482.4,Four-Door Car,0,0
VQ65197,California,8197.197078,No,0,0,1,0,0,0,2001/6/11,1,0,0,0,F,0,1,0,Married,110,27,87,0,3,0,0,0,1,1,0,0,0,0,0,528,SUV,1,0
DP39365,California,8798.797003,No,0,1,0,0,1,0,2002/6/11,0,0,0,0,M,77026,0,0,Married,110,9,82,2,3,1,0,0,0,1,0,0,0,0,0,472.029737,Four-Door Car,1,0
SJ95423,Arizona,8819.018934,Yes,0,0,0,0,0,0,2001/10/11,0,0,0,0,M,99845,1,0,Married,110,23,25,1,8,1,0,0,1,1,0,0,1,0,0,528,SUV,1,0
IL66569,California,5384.431665,No,0,0,1,0,0,0,1/18/11,0,0,0,0,M,83689,0,0,Single,70,21,10,2,8,1,0,0,1,0,0,1,0,1,0,307.139132,Four-Door Car,1,0
BW63560,Oregon,7463.139377,No,0,0,0,1,0,0,1/17/11,0,0,0,0,F,24599,0,1,Married,64,12,50,1,2,1,0,1,0,1,0,0,1,0,0,42.920271,Four-Door Car,1,0
FV94802,Nevada,2566.867823,No,0,0,0,0,0,0,2002/6/11,0,0,1,0,M,25049,1,0,Married,67,14,7,0,1,0,0,0,1,1,0,0,0,1,0,454.245098,Two-Door Car,1,0
OE15005,California,3945.241604,No,0,0,1,0,0,0,2001/5/11,0,0,1,0,M,28855,1,0,Married,101,12,59,0,1,0,0,1,0,0,1,0,0,1,0,647.442031,SUV,1,0
WC83389,Oregon,5710.333115,No,0,0,1,0,0,0,2/27/11,0,0,0,0,M,51148,0,0,Married,72,9,1,0,7,0,0,1,0,1,0,0,1,0,0,308.981664,Four-Door Car,1,0
FL50705,California,8162.617053,No,0,1,0,0,0,0,1/14/11,0,0,0,0,F,66140,1,0,Married,101,11,21,0,3,1,0,1,0,0,0,0,0,1,0,484.8,Four-Door Car,0,0
ZK25313,Oregon,2872.051273,No,0,0,0,0,0,0,2/19/11,0,0,0,0,M,57749,1,0,Single,74,31,21,0,1,0,0,1,0,0,0,0,1,0,0,355.2,Two-Door Car,1,0
SV62436,Washington,3041.791561,No,1,0,0,1,0,0,1/21/11,0,1,0,0,F,13789,1,0,Divorced,79,8,49,0,1,0,0,0,1,0,0,1,0,1,0,379.2,Four-Door Car,1,0
YH23384,Arizona,24127.50402,Yes,0,0,0,1,0,0,1/26/11,0,0,1,0,M,14072,1,0,Divorced,71,13,3,0,2,0,0,0,1,0,0,0,0,0,0,511.2,Four-Door Car,1,0
TZ98966,Nevada,2450.190996,No,0,0,0,1,0,0,2/24/11,1,0,0,0,F,0,1,0,Single,73,4,44,3,1,1,0,0,1,0,0,0,1,0,0,554.376763,Four-Door Car,1,0
HM55802,California,2392.10789,No,0,0,0,1,0,0,2002/5/11,0,1,0,0,F,17870,1,0,Married,61,30,91,0,1,1,0,1,0,1,0,0,1,0,0,439.2,Four-Door Car,1,0
FS42516,Oregon,5802.065978,No,0,0,1,0,0,0,1/29/11,0,0,0,0,M,97541,1,0,Married,72,22,1,0,3,0,0,0,1,1,0,0,0,1,0,389.185006,Four-Door Car,0,1
US89481,California,3946.372085,No,0,1,0,1,0,0,2/28/11,1,0,0,0,F,0,1,0,Single,111,15,47,0,1,0,0,0,1,0,0,0,0,0,0,799.2,Four-Door Car,0,0
HO30839,Washington,5346.916576,No,1,0,0,0,1,0,2002/12/11,0,1,0,0,F,10511,0,0,Married,139,33,64,0,1,1,0,0,0,0,0,0,1,0,0,516.237951,SUV,1,0
GE62437,Arizona,12902.56014,No,0,1,1,0,0,0,2002/2/11,0,0,0,0,F,86584,1,0,Single,111,33,54,2,2,0,0,0,1,0,0,0,0,1,0,532.8,Four-Door Car,0,1
EJ77678,Oregon,3235.360468,No,1,0,0,0,1,0,2002/7/11,0,0,0,0,F,75690,1,0,Married,80,17,44,1,1,0,0,0,1,1,0,0,1,0,0,384,Four-Door Car,0,0
SV85652,Arizona,2454.58354,No,0,0,1,0,0,0,2/28/11,0,0,0,0,M,23158,1,0,Married,63,4,6,1,1,0,0,1,0,0,0,1,0,1,0,322.294043,Four-Door Car,0,0
UL64533,Nevada,18975.45611,No,1,0,0,0,0,0,1/22/11,0,0,0,0,M,65999,0,0,Married,237,1,14,0,6,1,0,1,0,1,0,0,0,0,0,615.927769,Luxury SUV,1,0
PF41800,California,4715.321344,No,0,0,0,1,0,0,1/25/11,1,0,0,0,M,0,0,0,Married,65,19,56,0,3,0,0,0,1,0,0,0,0,1,0,308.15089,Four-Door Car,1,0
AO98601,Washington,5018.885233,No,0,0,0,1,0,0,1/18/11,0,0,0,0,M,54500,1,0,Married,63,28,17,0,6,1,0,1,0,0,0,0,0,0,0,302.4,Two-Door Car,0,0
SK67821,Oregon,4932.916345,No,0,0,0,1,0,0,2/13/11,0,0,0,0,F,37260,0,1,Married,62,19,42,0,8,1,0,0,0,0,1,0,0,0,1,15.437681,Four-Door Car,1,0
YV55495,Arizona,5744.229745,No,0,0,0,0,0,0,1/15/11,0,0,0,0,F,68987,0,0,Married,71,11,40,0,6,0,0,0,0,0,0,0,1,0,0,204.475147,Four-Door Car,1,0
KY38074,California,13891.73567,No,0,1,0,1,0,0,2001/8/11,0,0,0,0,M,42305,1,0,Married,117,10,62,0,2,0,0,0,1,0,0,0,0,0,0,561.6,Four-Door Car,0,0
DM79012,Oregon,7380.976717,No,1,0,0,0,1,0,2002/6/11,0,0,0,0,F,65706,1,0,Married,91,19,86,0,8,0,0,0,1,1,0,0,0,0,1,436.8,Four-Door Car,0,0
CM61827,Oregon,3090.034104,No,1,0,0,1,0,0,1/25/11,1,0,0,0,M,0,1,0,Single,90,7,79,0,1,0,0,1,0,0,1,0,0,0,0,648,Two-Door Car,0,0
WC35801,Arizona,2521.633095,No,0,0,0,0,0,0,2002/7/11,0,0,0,0,M,53243,0,1,Divorced,66,4,15,2,1,0,0,0,1,0,0,0,0,1,0,157.397849,Four-Door Car,1,0
QG25316,Nevada,2652.061785,No,0,0,0,0,0,0,1/18/11,1,0,0,0,F,0,1,0,Married,70,7,1,1,1,1,0,0,1,0,1,0,0,1,0,484.318536,Two-Door Car,1,0
MB98372,Oregon,2771.045031,Yes,0,0,1,0,0,0,2001/11/11,0,0,0,0,F,50071,0,1,Single,71,3,32,0,1,1,0,0,1,1,0,0,0,0,0,18.918935,Two-Door Car,1,0
IL19217,California,3939.00637,Yes,1,0,0,1,0,0,1/28/11,0,0,0,0,F,60021,1,0,Married,99,12,28,0,1,0,0,1,0,1,0,0,0,0,0,882.871945,Four-Door Car,0,0
SR38658,Arizona,12231.87968,No,0,0,0,0,0,0,2002/8/11,0,0,0,0,M,43244,1,0,Married,103,15,16,0,2,0,0,1,0,0,0,1,0,0,0,494.4,Sports Car,1,0
DH41343,Washington,2443.665166,No,0,0,1,0,0,0,2/23/11,0,0,0,0,M,92834,1,0,Married,61,15,56,0,1,0,1,1,0,1,0,0,0,1,0,292.8,Four-Door Car,0,1
HG65722,Oregon,12819.10289,No,0,1,0,0,0,1,1/25/11,0,1,0,0,F,10105,0,1,Married,172,5,4,3,3,0,0,1,0,0,0,0,1,0,0,0.517753,SUV,1,0
BU27331,Arizona,4468.510542,No,0,0,0,1,0,0,1/31/11,1,0,0,0,M,0,1,0,Single,73,7,57,3,5,0,0,0,1,0,1,0,0,1,0,579.165954,Four-Door Car,1,0
XM45289,Oregon,5514.344018,No,0,0,0,0,0,0,2001/2/11,0,0,0,0,F,23218,1,0,Single,71,7,10,0,4,0,0,1,0,0,0,1,0,0,0,447.79344,Two-Door Car,1,0
KP34198,California,3343.875326,No,1,0,0,1,0,0,2002/7/11,1,0,0,0,F,0,1,0,Married,92,11,77,0,1,1,0,1,0,1,0,0,0,1,0,529.624084,Four-Door Car,1,0
SH90947,Arizona,2294.478927,No,0,0,0,0,0,0,1/18/11,1,0,0,0,F,0,1,0,Married,62,11,56,0,1,0,0,1,0,0,0,1,1,0,0,313.023175,Four-Door Car,1,0
WE95729,Oregon,36707.42639,No,0,0,1,0,0,0,1/17/11,0,0,0,0,M,24804,1,0,Married,104,1,28,0,2,0,0,1,0,0,0,0,0,0,0,593.830288,SUV,0,0
PY51963,California,33473.34946,Yes,0,0,0,1,0,0,2001/11/11,0,0,0,0,F,33190,1,0,Divorced,106,18,95,0,2,1,0,0,0,0,0,0,0,0,1,508.8,SUV,1,0
RB69909,Nevada,7983.431709,No,0,0,0,0,0,0,2/21/11,0,0,0,0,F,36014,0,1,Married,69,4,40,3,2,0,1,0,0,0,0,1,1,0,0,173.956072,Four-Door Car,1,0
XR95069,Washington,4854.745666,No,0,0,0,1,0,0,2/16/11,0,0,0,0,M,29834,1,0,Single,64,19,44,0,3,0,0,0,1,0,0,1,0,0,0,307.2,Four-Door Car,1,0
FR46645,California,4293.997319,No,0,1,0,1,0,0,1/17/11,0,1,0,0,M,16701,1,0,Married,113,20,26,0,1,0,0,1,0,0,0,0,1,0,0,831.625979,Four-Door Car,0,0
SY17488,Arizona,7164.395543,No,1,0,1,0,0,0,2002/5/11,0,0,0,0,F,46623,1,0,Divorced,91,1,53,0,3,1,0,0,1,0,1,0,0,1,0,436.8,Four-Door Car,0,0
AP67935,California,7619.5158,No,0,0,1,0,0,0,2/13/11,0,0,0,0,M,64749,0,0,Married,64,24,59,0,2,0,1,1,0,1,0,0,1,0,0,302.56519,Four-Door Car,1,0
FS37417,Arizona,3958.002823,No,0,0,0,0,0,0,2/23/11,1,0,0,0,F,0,1,0,Married,101,29,12,0,1,0,0,1,0,0,0,0,0,1,0,484.8,SUV,0,0
ML29312,Oregon,4499.493252,No,1,0,0,0,0,0,1/28/11,0,1,0,0,F,16969,1,0,Divorced,124,34,47,2,1,0,0,0,1,0,0,0,0,1,0,704.768111,SUV,1,0
UB61619,Oregon,4059.567414,No,0,1,0,0,1,0,2/28/11,0,1,0,0,F,11621,1,0,Divorced,108,4,98,0,1,0,0,0,0,0,0,0,0,0,0,518.4,Four-Door Car,1,0
CD86811,Arizona,4458.113369,Yes,0,0,0,1,0,0,2001/2/11,0,0,0,1,M,17622,1,0,Divorced,65,1,36,1,3,0,0,0,0,0,0,0,0,0,0,312,Four-Door Car,1,0
RU83859,California,8110.333139,No,0,1,0,1,0,0,1/22/11,0,0,1,0,F,11489,1,0,Married,105,4,50,0,6,0,0,0,1,0,0,0,0,1,0,504,Two-Door Car,0,0
FG63582,Oregon,3339.764873,No,1,0,0,1,0,0,1/15/11,1,0,0,0,M,0,1,0,Single,94,20,53,0,1,0,0,0,1,0,0,0,0,0,0,863.327324,Two-Door Car,0,0
NN71951,California,24261.01777,No,0,0,0,0,0,0,1/27/11,0,0,0,0,F,66525,0,1,Married,100,0,86,0,2,0,0,0,1,0,0,0,0,0,0,104.331355,SUV,1,0
WB37082,Arizona,6613.973653,No,0,0,0,1,0,0,1/23/11,1,0,0,0,F,0,1,0,Single,63,21,28,0,2,0,0,0,1,0,1,0,1,0,0,676.391482,Four-Door Car,0,1
SM52139,Washington,2930.693543,No,0,0,1,0,0,0,1/31/11,0,0,0,0,M,33663,1,0,Married,73,29,71,0,1,0,0,0,1,0,1,0,0,0,1,350.4,Four-Door Car,1,0
FL82372,Oregon,8672.194272,No,0,0,1,0,0,0,1/26/11,0,0,0,0,F,22547,1,0,Divorced,112,7,60,0,3,1,0,0,1,0,0,0,0,0,0,537.6,SUV,1,0
DP45816,Arizona,11638.66926,No,1,0,0,0,0,0,2001/10/11,0,0,0,0,F,61486,0,0,Married,97,5,65,0,2,0,0,0,1,0,0,1,1,0,0,465.258644,Two-Door Car,0,0
GW33762,Oregon,6846.150323,Yes,1,0,0,1,0,0,1/27/11,1,0,0,0,F,0,1,0,Divorced,95,13,20,0,5,0,0,0,1,0,0,0,0,1,0,456,Two-Door Car,0,1
RZ33670,California,11727.77648,No,0,1,1,0,0,0,2001/9/11,0,1,0,0,F,29879,1,0,Married,102,17,0,0,2,0,0,0,1,0,1,0,0,0,1,500.254235,Four-Door Car,1,0
PY70169,Oregon,22643.83478,No,0,0,0,0,0,0,2/24/11,0,0,0,0,M,93011,0,1,Divorced,113,17,12,0,2,0,0,0,1,0,0,1,0,0,0,281.451042,SUV,1,0
MO91628,Oregon,2614.474305,No,0,0,0,0,1,0,2002/11/11,0,0,0,0,M,65186,0,1,Married,65,29,27,0,1,0,0,1,0,1,0,0,0,0,1,5.434505,Two-Door Car,0,1
HW87852,Oregon,2451.752695,No,0,0,0,0,1,0,2002/12/11,0,0,1,0,M,26840,1,0,Married,64,1,47,2,1,0,0,0,0,0,0,0,0,0,0,307.2,Four-Door Car,1,0
HB20453,Oregon,6781.270203,No,0,0,0,1,0,0,2002/4/11,1,0,0,0,M,0,1,0,Single,104,30,3,1,5,0,0,0,1,0,0,0,0,0,0,982.399613,Sports Car,1,0
BN87372,Oregon,4974.801539,Yes,0,0,0,1,0,0,1/18/11,0,0,0,0,M,75644,1,0,Divorced,65,5,68,3,9,0,0,0,1,1,0,0,1,0,0,467.803638,Two-Door Car,1,0
YX23800,Oregon,8591.604933,No,0,0,0,1,0,0,2002/11/11,0,0,0,0,M,38984,1,0,Married,73,27,38,0,2,0,0,0,1,1,0,0,1,0,0,350.4,Four-Door Car,0,0
DZ87709,Oregon,5592.161392,No,0,0,0,0,0,0,2002/1/11,0,0,0,0,F,71811,0,1,Single,71,17,48,0,6,0,0,0,0,1,0,0,0,1,0,29.03416,Four-Door Car,1,0
XW13033,Nevada,8009.472833,No,0,0,1,0,0,0,2/15/11,0,0,0,0,M,20961,1,0,Married,67,20,33,0,2,0,0,0,0,1,0,0,0,0,0,321.6,Four-Door Car,1,0
LN31673,Washington,11318.08982,No,1,0,1,0,0,0,2002/6/11,0,0,0,0,M,38923,0,1,Married,99,6,83,2,2,0,0,0,1,0,0,0,0,0,0,115.728852,Four-Door Car,1,0
OM82309,California,58166.55351,No,0,0,0,1,0,0,2/27/11,0,0,0,0,M,61321,0,1,Single,186,0,30,1,2,0,0,0,1,1,0,0,1,0,0,427.63121,Luxury Car,0,0
ZU35962,California,8025.229358,No,1,0,1,0,0,0,1/26/11,1,0,0,0,F,0,0,1,Single,77,20,26,0,2,0,0,0,1,0,1,0,1,0,0,25.807685,Two-Door Car,0,1
VH85817,California,5780.182197,Yes,0,0,0,0,0,0,2/26/11,0,0,0,0,M,51066,1,0,Single,74,23,0,0,8,0,0,0,1,1,0,0,0,1,0,787.993313,Four-Door Car,1,0
DT85712,California,4118.539113,No,0,0,0,0,0,1,1/27/11,0,0,0,0,M,34378,1,0,Married,102,12,54,0,1,0,0,0,0,0,1,0,1,0,0,489.6,SUV,1,0
YJ88573,Nevada,2523.07015,No,0,0,0,0,1,0,1/16/11,0,0,0,0,M,43072,1,0,Married,63,35,15,0,1,0,0,0,1,1,0,0,0,1,0,302.4,Four-Door Car,0,1
SQ19467,Oregon,6554.216396,No,1,0,1,0,0,0,1/27/11,0,1,0,0,F,25222,1,0,Single,90,28,69,0,3,0,0,0,1,1,0,0,0,0,0,475.623251,Four-Door Car,0,0
HF88410,Washington,7703.397294,No,0,0,0,0,0,0,2/28/11,0,0,0,0,M,36765,1,0,Married,66,15,32,1,2,0,0,1,0,0,0,0,0,1,0,320.849072,Four-Door Car,1,0
ET79815,California,5926.729379,Yes,1,0,1,0,0,0,1/25/11,0,0,0,1,M,23091,1,0,Married,96,28,90,5,5,0,0,0,0,0,0,0,0,0,0,460.8,Four-Door Car,1,0
QC35222,California,2683.470677,No,0,0,0,1,0,0,2001/1/11,0,0,0,0,F,48269,0,0,Married,69,3,79,3,1,1,0,1,0,0,1,0,0,0,1,282.151207,Four-Door Car,1,0
CJ15590,Oregon,2695.182419,No,0,0,0,1,0,0,2002/1/11,0,0,0,0,F,32720,1,0,Divorced,67,13,12,0,1,0,0,1,0,0,1,0,1,0,0,321.6,Four-Door Car,1,0
OI48267,California,6047.02516,Yes,1,0,1,0,0,0,2/19/11,0,0,0,0,M,20396,1,0,Married,76,15,60,1,4,0,0,0,1,0,0,0,1,0,0,364.8,Four-Door Car,1,0
JY67916,Oregon,13171.01282,No,0,1,1,0,0,0,1/27/11,0,0,1,0,M,21513,1,0,Married,119,21,81,1,2,0,0,0,1,1,0,0,1,0,0,679.827592,Two-Door Car,0,0
OE75231,Washington,10656.88195,Yes,1,0,0,1,0,0,2/27/11,0,0,0,0,F,72540,1,0,Married,88,7,3,0,2,1,0,0,1,1,0,0,0,1,0,631.743039,Two-Door Car,1,0
CZ33664,Oregon,2527.653796,No,0,0,0,1,0,0,1/17/11,0,0,0,0,F,80744,0,1,Married,63,24,84,0,1,1,0,0,1,0,0,0,0,0,0,11.879037,Four-Door Car,1,0
WK30175,Oregon,2672.095756,No,0,0,0,1,0,0,2002/10/11,0,0,0,0,M,52822,1,0,Married,67,23,88,0,1,1,0,0,0,0,0,0,1,0,0,350.529033,Two-Door Car,0,0
ON44465,California,5313.294035,No,1,0,0,0,0,0,1/24/11,1,0,0,0,F,0,1,0,Single,77,8,10,1,9,0,0,1,0,0,0,0,0,0,0,863.3947,Four-Door Car,1,0
TV87155,Oregon,20946.19251,No,0,0,0,1,0,0,2/24/11,0,0,0,0,F,69738,1,0,Married,74,2,26,1,2,0,0,0,1,0,0,0,1,0,0,492.127532,Four-Door Car,0,1
KH48895,Arizona,8375.353929,No,0,0,0,0,1,0,2/15/11,0,0,1,0,F,17780,0,1,Married,109,12,18,0,9,0,0,0,1,0,0,0,1,0,0,132.588288,SUV,1,0
NZ30757,California,4801.661503,No,0,0,0,1,0,0,2/16/11,0,0,1,0,M,18107,1,0,Married,62,29,11,0,8,0,0,1,0,0,0,0,0,0,0,297.6,Four-Door Car,1,0
RI22468,Arizona,5745.94334,No,0,0,0,1,0,0,1/22/11,0,0,0,0,F,57740,0,0,Married,74,30,87,3,9,0,0,0,0,0,1,0,0,0,1,269.905129,Four-Door Car,1,0
FZ30935,Oregon,6066.115969,No,1,0,1,0,0,0,2/25/11,0,0,0,0,M,32627,1,0,Married,76,11,60,0,7,0,0,1,0,0,0,0,0,0,0,380.036697,Two-Door Car,0,0
UG93476,California,8002.308333,Yes,0,0,1,0,0,0,2001/11/11,1,0,0,0,F,0,1,0,Married,107,3,65,0,3,0,0,0,1,0,0,0,0,0,0,513.6,SUV,1,0
AB96670,California,2393.915369,Yes,0,0,1,0,0,0,1/31/11,1,0,0,0,M,0,1,0,Single,70,24,10,0,1,0,0,0,0,0,0,0,1,0,0,425.266308,Four-Door Car,1,0
XK64261,Oregon,4762.8179,No,0,0,0,1,0,0,2001/12/11,0,0,0,0,M,65795,0,1,Single,62,2,85,1,3,1,0,0,1,0,1,0,0,1,0,49.011099,Two-Door Car,1,0
EV68375,California,4330.38602,Yes,0,1,1,0,0,0,2/16/11,0,0,0,0,M,60475,1,0,Married,107,9,18,0,1,0,0,0,1,1,0,0,1,0,0,513.6,Four-Door Car,1,0
UN51653,California,9402.729769,No,1,0,0,0,0,0,2002/9/11,1,0,0,0,F,0,1,0,Single,130,28,88,0,4,0,0,0,1,0,0,0,0,0,1,936,SUV,1,0
TO96662,Oregon,6966.694527,No,1,0,0,1,0,0,1/19/11,0,0,0,0,F,41837,0,1,Married,88,29,93,0,9,0,0,0,1,0,0,0,0,1,0,142.062768,Four-Door Car,0,0
MR52087,California,7694.064293,No,0,0,0,1,0,0,2001/4/11,0,0,0,0,F,32303,0,1,Married,65,13,34,0,2,0,0,0,0,0,1,0,1,0,0,45.152521,Four-Door Car,1,0
DE75225,Oregon,8717.561149,No,0,0,0,0,0,0,2001/9/11,1,0,0,0,M,0,1,0,Married,117,5,89,1,3,0,0,0,0,0,0,0,0,0,0,561.6,SUV,1,0
EP80820,California,5928.748528,No,0,0,0,1,0,0,1/27/11,0,0,0,0,F,40531,0,1,Married,74,17,32,0,9,0,0,0,1,0,0,0,0,0,0,30.567357,Two-Door Car,1,0
GU99037,Oregon,2452.977288,No,0,0,1,0,0,0,2/14/11,0,0,0,0,M,79898,0,0,Married,62,5,86,1,1,1,0,0,0,0,0,1,0,0,0,271.606799,Four-Door Car,1,0
WI57118,California,6701.571657,No,1,0,1,0,0,0,2/27/11,0,0,0,0,M,56398,1,0,Married,85,4,18,0,7,0,0,0,1,0,0,1,0,0,0,408,Four-Door Car,0,0
YQ74870,Washington,7556.24034,No,1,0,0,0,0,0,2002/12/11,0,0,0,0,M,35257,1,0,Divorced,98,16,2,1,8,1,0,1,0,1,0,0,0,0,1,470.4,Four-Door Car,0,0
MQ14219,Arizona,8492.6988,No,0,0,1,0,0,0,2/26/11,0,0,0,0,M,27804,1,0,Married,109,19,54,0,7,0,0,0,1,1,0,0,1,0,0,784.8,SUV,1,0
KN20603,Oregon,7713.494046,No,0,0,0,1,0,0,2/20/11,0,0,0,0,M,45506,1,0,Single,66,16,32,2,2,0,0,0,1,0,0,0,0,0,0,316.8,Four-Door Car,1,0
CR48975,Washington,24084.5352,No,0,0,0,0,0,0,2002/2/11,0,0,0,0,M,65196,1,0,Married,67,0,54,0,2,0,0,1,0,0,0,1,1,0,0,396.082036,Four-Door Car,1,0
JI70886,California,7290.069769,No,0,0,0,0,0,0,2/15/11,1,0,0,0,M,0,1,0,Married,102,11,70,1,3,1,0,1,0,0,0,0,0,0,0,489.6,SUV,1,0
VF72557,Oregon,4772.943848,Yes,1,0,0,0,0,0,2/18/11,0,0,0,1,M,20993,1,0,Divorced,133,35,90,0,1,0,0,0,1,1,0,0,0,0,0,638.4,SUV,1,0
OX28638,Arizona,6806.491395,No,1,0,0,0,0,0,1/21/11,0,0,0,0,M,37839,1,0,Married,86,35,77,0,9,0,0,0,1,1,0,0,1,0,0,465.633954,Two-Door Car,1,0
SK55033,California,2469.781334,No,0,0,0,1,0,0,1/15/11,0,0,0,0,F,92711,1,0,Single,62,24,10,0,1,0,0,1,0,0,1,0,0,0,0,368.400146,Two-Door Car,1,0
OO88645,California,3103.923041,No,1,0,1,0,0,0,2002/5/11,0,0,0,0,F,74665,0,0,Married,78,10,90,2,1,1,0,1,0,1,0,0,0,1,0,236.902001,Four-Door Car,1,0
YT36855,Washington,2981.875575,No,1,0,1,0,0,0,2/24/11,1,0,0,0,M,0,1,0,Married,83,26,89,0,1,0,0,1,0,0,1,0,0,0,1,582.679087,Two-Door Car,1,0
CW82151,California,8902.737595,No,0,0,0,1,0,0,2001/5/11,0,0,0,0,M,46833,0,1,Married,112,6,3,0,9,0,0,0,1,0,0,0,0,1,0,64.109663,Sports Car,1,0
DY22043,Oregon,5499.447223,No,0,0,0,0,0,0,1/28/11,0,0,0,0,F,88768,1,0,Married,68,17,77,0,7,0,0,0,1,0,1,0,1,0,0,326.4,Two-Door Car,0,0
SH36774,California,15023.59858,No,0,0,0,0,0,0,2001/12/11,0,0,0,0,M,28262,1,0,Single,192,9,77,0,3,0,0,0,1,0,1,0,0,0,1,921.6,Luxury SUV,1,0
EM43724,Nevada,2509.107875,No,0,0,0,1,0,0,2/16/11,0,0,0,0,F,33555,0,1,Married,63,17,11,0,1,0,0,0,1,0,0,0,0,0,0,101.89645,Four-Door Car,1,0
FH85960,Oregon,31221.7481,No,0,1,1,0,0,0,2001/3/11,0,0,0,0,M,42780,1,0,Divorced,113,10,27,1,2,0,0,1,0,0,0,0,0,1,0,542.4,Four-Door Car,1,0
XA55993,Oregon,3133.503432,No,1,0,0,0,1,0,2002/7/11,0,0,0,0,F,58850,0,1,Single,78,20,26,0,1,0,0,0,1,1,0,0,1,0,0,143.747794,Four-Door Car,1,0
GO36627,Arizona,3837.451863,No,1,0,1,0,0,0,1/13/11,0,0,0,0,M,21880,0,0,Married,97,29,37,0,1,0,1,1,0,0,0,0,1,0,0,424.077159,Four-Door Car,1,0
QH48047,Oregon,11790.49617,Yes,0,0,1,0,0,0,2001/3/11,0,0,0,1,M,25251,1,0,Divorced,66,13,43,0,2,0,0,1,0,1,0,0,0,0,1,316.8,Four-Door Car,1,0
RB50392,Washington,7838.068321,No,0,0,0,0,1,0,2/17/11,1,0,0,0,F,0,0,1,Married,69,9,12,0,2,0,0,0,0,1,0,0,0,0,0,2.704934,Four-Door Car,1,0
UH65059,Arizona,4305.808345,No,0,0,0,0,0,0,1/21/11,0,0,0,0,M,24188,1,0,Married,109,14,82,0,1,0,0,0,1,0,0,0,0,0,0,523.2,Sports Car,1,0
FV21968,Nevada,5973.976904,No,0,0,0,1,0,0,1/26/11,0,0,0,0,F,41611,0,1,Married,74,14,8,0,8,0,1,1,0,0,0,0,1,0,0,113.801497,Four-Door Car,1,0
